rowindex,contract,price_crossing,price_distortion,roll_start,roll_heart,near_minus_next,ctd_last_first,ctd1_percent,delivery_cost,delivery_ratio,squeeze
169,FVZ07 Comdty,0.005686412,0.12800557,0.740011526,0.141831875,0.765149625,0.800060665,0.173510012,0.194397766,0.119879253,TRUE
170,FVH08 Comdty,0.164179977,0.052813821,0.073002499,1,0.117006591,0.133238796,0.153633056,0.175406249,1,FALSE
171,FVM08 Comdty,0.160989176,1,0.095288979,0.715254226,0.083584197,0.645805328,1,1,1,TRUE
172,FVU08 Comdty,1,0.774373277,0.799755726,1,0.116451366,0.005216649,0.983751902,0.160985538,1,TRUE
173,FVZ08 Comdty,1,0.64683229,0.619017573,0.018193694,0.163709125,1,0.01997703,0.199700946,0.001460177,TRUE
174,FVH09 Comdty,0.027942898,0.151645042,1,1,0.711983726,0.171559358,0.163143657,1,0.15971929,TRUE
175,FVM09 Comdty,0.087429402,1,0.906655379,0.99380642,0.170026349,0.184839732,0.112994124,0.079586139,0.155662867,TRUE
176,FVU09 Comdty,1,0.176292947,0.943875951,1,1,0.06309054,1,0.702430062,1,FALSE
177,FVZ09 Comdty,0.848900029,0.109396656,0.129801744,0.140481544,0.176026821,1,0.876975392,1,0.115515357,TRUE
178,FVH10 Comdty,0.143081451,1,0.812956831,1,0.759146123,1,1,0.031449205,1,TRUE
179,FVM10 Comdty,0.90372186,0.001074548,0.19435199,0.648727935,0.083851355,0.139317699,1,0.794459693,0.025540231,FALSE
180,FVU10 Comdty,1,0.136469697,1,0.085112628,0.142871007,0.063658373,0.583858033,0.033170503,1,TRUE
181,FVZ10 Comdty,1,1,0.823769137,1,0.683599195,0.047388241,0.197020279,0.146885969,0.094502989,FALSE
182,FVH11 Comdty,0.16145066,0.635133927,1,0.068930779,1,1,0.022251297,0.562738328,1,TRUE
183,FVM11 Comdty,0.831477389,0.124414178,0.013639625,0.07632971,0.143938837,0.141519074,1,1,1,FALSE
184,FVU11 Comdty,1,0.156900746,1,1,0.074709121,1,1,1,1,TRUE
185,FVZ11 Comdty,0.064507127,1,0.121111291,1,0.78474479,1,0.10324953,0.02532514,0.690604245,TRUE
186,FVH12 Comdty,0.964886046,0.042312751,0.976280694,0.13479205,0.078208261,1,1,0.03327208,0.639138711,TRUE
187,FVM12 Comdty,0.702267472,0.059934613,0.084786267,0.124302359,1,1,0.05742761,0.032084348,1,TRUE
188,FVU12 Comdty,0.041163699,1,0.161988002,0.118031989,1,0.097867756,0.614586497,1,0.856708965,FALSE
189,FVZ12 Comdty,0.963655919,0.062246726,0.075002135,0.190535334,0.110155769,0.029810912,0.862460564,1,1,TRUE
190,FVH13 Comdty,1,0.044972883,0.031306375,0.065048433,0.848337665,0.068004137,0.952100395,0.08984945,0.18466613,FALSE
191,FVM13 Comdty,1,0.021076187,1,0.136301988,0.198012203,1,1,0.107993372,0.110315898,FALSE
192,FVU13 Comdty,0.089806534,1,1,0.106674844,0.597036716,1,0.160995856,0.034509789,1,FALSE
193,FVZ13 Comdty,0.196928864,1,0.057699438,0.168846561,0.120037614,0.971995833,0.850478201,0.124007106,0.138622487,FALSE
194,FVH14 Comdty,0.149733367,0.179177067,0.709355354,0.153706456,0.085866772,0.033882429,1,0.002267263,1,TRUE
195,FVM14 Comdty,1,1,0.116047915,0.044962848,0.04864786,1,1,0.114291737,0.706084842,TRUE
196,FVU14 Comdty,0.002729712,0.186381802,1,1,0.033777922,0.713046914,0.166132091,0.195255881,0.028542027,FALSE
197,FVZ14 Comdty,0.1370873,0.065805869,1,0.088391172,1,0.172774636,0.651147731,0.707215547,0.045050318,FALSE
198,FVH15 Comdty,0.622351126,0.669051161,0.070931927,1,0.918023106,0.150835852,0.150300579,0.075590493,0.130730243,FALSE
199,FVM15 Comdty,0.149219026,1,0.900230749,1,0.086179515,0.141378402,1,0.764811447,0.853725375,TRUE
200,FVU15 Comdty,1,0.027272161,0.736667375,0.978486269,1,0.110516915,0.770939129,0.858663566,0.890573266,FALSE
201,FVZ15 Comdty,0.104058711,0.056016165,0.581150315,0.17017054,0.902396217,0.138239493,0.173620182,1,0.065267763,FALSE
202,FVH16 Comdty,0.047398024,0.57054345,1,0.069629898,0.666367621,0.039388742,0.676894455,0.052542635,0.146873149,TRUE
203,FVM16 Comdty,0.184801717,0.648143865,0.056083975,0.151896149,1,0.196260663,1,1,0.138294402,TRUE
204,FVU16 Comdty,1,1,0.870724855,0.597341449,1,0.154551806,0.166213572,0.016558496,0.115793133,TRUE
205,FVZ16 Comdty,1,1,0.042196412,1,1,0.162633633,0.916417391,0.085848061,0.058852598,FALSE
206,FVH17 Comdty,1,1,0.059302886,1,1,1,0.825306923,0.042253133,0.830857956,TRUE
207,FVM17 Comdty,0.998617464,0.11819176,1,0.133450388,0.05819566,0.016257232,0.961347274,0.843135008,0.062911553,FALSE
208,FVU17 Comdty,0.851191662,0.096543547,0.14969254,0.677987315,0.182813143,0.12896585,0.144717099,0.786214009,1,FALSE
209,FVZ17 Comdty,0.172831727,0.577142068,0.639679769,1,0.060656174,1,1,1,0.071250832,FALSE
210,FVH18 Comdty,0.056220288,0.995425554,0.198202737,1,0.640953282,0.131282082,0.103039271,0.851868928,0.093258875,TRUE
211,FVM8 Comdty,0.710265319,0.6380849,0.815366015,0.161629074,0.758009439,0.729681855,1,0.07539599,0.171591066,TRUE
212,FVU8 Comdty,0.027492648,0.160249201,0.915487607,0.590344384,0.134690098,1,0.557528973,0.641946172,0.114822429,TRUE
213,FVZ8 Comdty,0.799773319,0.914737102,0.173974523,1,1,0.024713219,0.98164693,0.183800018,0.062142257,FALSE
214,FVH9 Comdty,0.134005684,0.117591235,0.595259159,0.797834949,0.644770029,1,0.719988877,0.167746594,0.799561789,TRUE
215,FVM9 Comdty,0.076267999,0.750356208,0.995685482,0.111041511,0.032437313,1,1,0.764303873,0.087989374,FALSE
216,FVU9 Comdty,0.906132342,0.585851413,1,0.16418295,0.132529248,1,0.960140369,0.761145454,0.055474646,TRUE
217,TYH85 Comdty,0.924010454,1,1,0.118332486,1,0.965818061,1,0.112390984,0.044887884,FALSE
218,TYM85 Comdty,0.986286546,1,1,1,0.040621734,1,0.174288362,0.136220057,1,FALSE
219,TYU85 Comdty,1,1,0.160036694,0.676350736,0.014319421,0.021848809,1,0.19811906,1,FALSE
220,TYZ85 Comdty,0.717933242,0.088863299,0.709093425,0.146446764,0.095652759,1,0.83809522,0.101188182,0.15051704,FALSE
221,TYH86 Comdty,0.00939746,1,0.725157821,1,0.902722128,0.84623872,1,0.10649493,0.16779905,FALSE
222,TYM86 Comdty,1,0.138228908,0.558083698,0.626097228,1,0.070360146,1,0.020623874,0.094280843,FALSE
223,TYU86 Comdty,0.016806743,0.198056519,1,1,0.121207079,0.025367742,0.189230622,1,0.0486089,FALSE
224,TYZ86 Comdty,1,0.116938291,0.065003314,0.129555929,0.984082846,1,1,1,1,FALSE
